INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,PRC,OPR_INTERVAL,GROUP
2023-06-01T08:00:00-00:00,2023-06-01T08:15:00-00:00,2023-06-01,02,MIL1_3_PASGNODE,MIL1_3_PASGNODE,MIL1_3_PASGNODE,RTPD,LMP,LMP_PRC,MIL1_3_PASGNODE,ALL,1,24.97635,1,1
2023-06-01T09:00:00-00:00,2023-06-01T09:15:00-00:00,2023-06-01,03,MIL1_3_PASGNODE,MIL1_3_PASGNODE,MIL1_3_PASGNODE,RTPD,LMP,LMP_PRC,MIL1_3_PASGNODE,ALL,1,27.14745,1,1
2023-06-01T10:00:00-00:00,2023-06-01T10:15:00-00:00,2023-06-01,04,MIL1_3_PASGNODE,MIL1_3_PASGNODE,MIL1_3_PASGNODE,RTPD,LMP,LMP_PRC,MIL1_3_PASGNODE,ALL,1,26.12371,1,1
2023-06-01T11:00:00-00:00,2023-06-01T11:15:00-00:00,2023-06-01,05,MIL1_3_PASGNODE,MIL1_3_PASGNODE,MIL1_3_PASGNODE,RTPD,LMP,LMP_PRC,MIL1_3_PASGNODE,ALL,1,26.41621,1,1
2023-06-01T12:00:00-00:00,2023-06-01T12:15:00-00:00,2023-06-01,06,MIL1_3_PASGNODE,MIL1_3_PASGNODE,MIL1_3_PASGNODE,RTPD,LMP,LMP_PRC,MIL1_3_PASGNODE,ALL,1,29.34727,1,1
2023-06-01T13:00:00-00:00,2023-06-01T13:15:00-00:00,2023-06-01,07,MIL1_3_PASGNODE,MIL1_3_PASGNODE,MIL1_3_PASGNODE,RTPD,LMP,LMP_PRC,MIL1_3_PASGNODE,ALL,1,34.1234,1,1
2023-06-01T14:00:00-00:00,2023-06-01T14:15:00-00:00,2023-06-01,08,MIL1_3_PASGNODE,MIL1_3_PASGNODE,MIL1_3_PASGNODE,RTPD,LMP,LMP_PRC,MIL1_3_PASGNODE,ALL,1,26.68842,1,1
2023-06-01T15:00:00-00:00,2023-06-01T15:15:00-00:00,2023-06-01,09,MIL1_3_PASGNODE,MIL1_3_PASGNODE,MIL1_3_PASGNODE,RTPD,LMP,LMP_PRC,MIL1_3_PASGNODE,ALL,1,17.29083,1,1
2023-06-01T16:00:00-00:00,2023-06-01T16:15:00-00:00,2023-06-01,10,MIL1_3_PASGNODE,MIL1_3_PASGNODE,MIL1_3_PASGNODE,RTPD,LMP,LMP_PRC,MIL1_3_PASGNODE,ALL,1,14.78138,1,1
2023-06-01T17:00:00-00:00,2023-06-01T17:15:00-00:00,2023-06-01,11,MIL1_3_PASGNODE,MIL1_3_PASGNODE,MIL1_3_PASGNODE,RTPD,LMP,LMP_PRC,MIL1_3_PASGNODE,ALL,1,14.42136,1,1
