OPR_DT,OPR_HR,OPR_INTERVAL,INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,TRADING_HUB,RENEWABLE_TYPE,LABEL,XML_DATA_ITEM,MARKET_RUN_ID_POS,RENEW_POS,MW,MARKET_RUN_ID,GROUP
2022-06-01,15,0,2022-06-01T21:00:00-00:00,2022-06-01T22:00:00-00:00,NP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,1979.86,DAM,1
2022-06-01,3,0,2022-06-01T09:00:00-00:00,2022-06-01T10:00:00-00:00,NP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,0,DAM,1
2022-06-01,14,0,2022-06-01T20:00:00-00:00,2022-06-01T21:00:00-00:00,NP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,2003.62,DAM,1
2022-06-01,13,0,2022-06-01T19:00:00-00:00,2022-06-01T20:00:00-00:00,NP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,2005.49,DAM,1
2022-06-01,12,0,2022-06-01T18:00:00-00:00,2022-06-01T19:00:00-00:00,NP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,2005.59,DAM,1
2022-06-01,11,0,2022-06-01T17:00:00-00:00,2022-06-01T18:00:00-00:00,NP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,1986.94,DAM,1
2022-06-01,10,0,2022-06-01T16:00:00-00:00,2022-06-01T17:00:00-00:00,NP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,1950.42,DAM,1
2022-06-01,9,0,2022-06-01T15:00:00-00:00,2022-06-01T16:00:00-00:00,NP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,1843.29,DAM,1
2022-06-01,8,0,2022-06-01T14:00:00-00:00,2022-06-01T15:00:00-00:00,NP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,1379.83,DAM,1
2022-06-01,7,0,2022-06-01T13:00:00-00:00,2022-06-01T14:00:00-00:00,NP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,393.9,DAM,1
2022-06-01,6,0,2022-06-01T12:00:00-00:00,2022-06-01T13:00:00-00:00,NP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,2.13,DAM,1
2022-06-01,5,0,2022-06-01T11:00:00-00:00,2022-06-01T12:00:00-00:00,NP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,0,DAM,1
