INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,LOAD_TYPE,OPR_DT,OPR_HR,OPR_INTERVAL,MARKET_RUN_ID,TAC_AREA_NAME,LABEL,XML_DATA_ITEM,POS,MW,EXECUTION_TYPE,GROUP
2022-11-02T04:00:00-00:00,2022-11-02T05:00:00-00:00,1,2022-11-01,22,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1208.09,DAM,1
2022-11-01T19:00:00-00:00,2022-11-01T20:00:00-00:00,1,2022-11-01,13,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1301.54,DAM,1
2022-11-01T16:00:00-00:00,2022-11-01T17:00:00-00:00,1,2022-11-01,10,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1315.9,DAM,1
2022-11-01T18:00:00-00:00,2022-11-01T19:00:00-00:00,1,2022-11-01,12,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1312.31,DAM,1
2022-11-01T12:00:00-00:00,2022-11-01T13:00:00-00:00,1,2022-11-01,6,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1012.36,DAM,1
2022-11-02T02:00:00-00:00,2022-11-02T03:00:00-00:00,1,2022-11-01,20,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1327.94,DAM,1
2022-11-01T22:00:00-00:00,2022-11-01T23:00:00-00:00,1,2022-11-01,16,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1236.32,DAM,1
2022-11-01T14:00:00-00:00,2022-11-01T15:00:00-00:00,1,2022-11-01,8,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1273.56,DAM,1
2022-11-01T10:00:00-00:00,2022-11-01T11:00:00-00:00,1,2022-11-01,4,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,846.88,DAM,1
2022-11-01T11:00:00-00:00,2022-11-01T12:00:00-00:00,1,2022-11-01,5,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,894.5,DAM,1
2022-11-02T06:00:00-00:00,2022-11-02T07:00:00-00:00,1,2022-11-01,24,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1052.68,DAM,1
2022-11-01T23:00:00-00:00,2022-11-02T00:00:00-00:00,1,2022-11-01,17,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1266.78,DAM,1
2022-11-01T17:00:00-00:00,2022-11-01T18:00:00-00:00,1,2022-11-01,11,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1319.16,DAM,1
2022-11-02T00:00:00-00:00,2022-11-02T01:00:00-00:00,1,2022-11-01,18,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1325.3,DAM,1
2022-11-02T01:00:00-00:00,2022-11-02T02:00:00-00:00,1,2022-11-01,19,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1353.61,DAM,1
2022-11-02T05:00:00-00:00,2022-11-02T06:00:00-00:00,1,2022-11-01,23,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1121.72,DAM,1
2022-11-01T13:00:00-00:00,2022-11-01T14:00:00-00:00,1,2022-11-01,7,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1168.45,DAM,1
2022-11-01T21:00:00-00:00,2022-11-01T22:00:00-00:00,1,2022-11-01,15,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1253.18,DAM,1
2022-11-02T03:00:00-00:00,2022-11-02T04:00:00-00:00,1,2022-11-01,21,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1283.45,DAM,1
2022-11-01T15:00:00-00:00,2022-11-01T16:00:00-00:00,1,2022-11-01,9,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1300.19,DAM,1
2022-11-01T08:00:00-00:00,2022-11-01T09:00:00-00:00,1,2022-11-01,2,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,848.39,DAM,1
2022-11-01T09:00:00-00:00,2022-11-01T10:00:00-00:00,1,2022-11-01,3,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,839.06,DAM,1
2022-11-01T20:00:00-00:00,2022-11-01T21:00:00-00:00,1,2022-11-01,14,0,DAM,AVA,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,1280.16,DAM,1
2022-11-01T20:00:00-00:00,2022-11-01T21:00:00-00:00,1,2022-11-01,14,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2806.36,DAM,2
2022-11-01T17:00:00-00:00,2022-11-01T18:00:00-00:00,1,2022-11-01,11,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2531.07,DAM,2
2022-11-01T19:00:00-00:00,2022-11-01T20:00:00-00:00,1,2022-11-01,13,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2666.62,DAM,2
2022-11-02T06:00:00-00:00,2022-11-02T07:00:00-00:00,1,2022-11-01,24,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2767.73,DAM,2
2022-11-01T15:00:00-00:00,2022-11-01T16:00:00-00:00,1,2022-11-01,9,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2715.99,DAM,2
2022-11-01T22:00:00-00:00,2022-11-01T23:00:00-00:00,1,2022-11-01,16,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3127.61,DAM,2
2022-11-01T16:00:00-00:00,2022-11-01T17:00:00-00:00,1,2022-11-01,10,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2589.72,DAM,2
2022-11-01T09:00:00-00:00,2022-11-01T10:00:00-00:00,1,2022-11-01,3,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2521.1,DAM,2
2022-11-01T18:00:00-00:00,2022-11-01T19:00:00-00:00,1,2022-11-01,12,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2565.74,DAM,2
2022-11-01T14:00:00-00:00,2022-11-01T15:00:00-00:00,1,2022-11-01,8,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2869.81,DAM,2
2022-11-01T13:00:00-00:00,2022-11-01T14:00:00-00:00,1,2022-11-01,7,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2885.72,DAM,2
2022-11-01T10:00:00-00:00,2022-11-01T11:00:00-00:00,1,2022-11-01,4,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2508.93,DAM,2
2022-11-01T08:00:00-00:00,2022-11-01T09:00:00-00:00,1,2022-11-01,2,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2571.01,DAM,2
2022-11-02T01:00:00-00:00,2022-11-02T02:00:00-00:00,1,2022-11-01,19,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3524.43,DAM,2
2022-11-01T23:00:00-00:00,2022-11-02T00:00:00-00:00,1,2022-11-01,17,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3306.48,DAM,2
2022-11-01T21:00:00-00:00,2022-11-01T22:00:00-00:00,1,2022-11-01,15,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2979.69,DAM,2
2022-11-01T12:00:00-00:00,2022-11-01T13:00:00-00:00,1,2022-11-01,6,0,DAM,AZPS,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2683.4,DAM,2
