PNODE_ID,PNODE_TYPE,DESCRIPTION,COMMENTS,EFF_START_DT,EFF_END_DT,EFF_START_DT_GMT,EFF_END_DT_GMT,CB_NODE_FLAG,MAX_CB_MW,MAX_CB_MW_EFF_START_DT,MAX_CB_MW_EFF_END_DT,MAX_CB_MW_EFF_START_DT_GMT,MAX_CB_MW_EFF_END_DT_GMT
CON25_1_N001,,CON25_1_N001,,2009-03-31T00:00:00,2030-12-31T23:59:59,2009-03-31T07:00:00-00:00,2031-01-01T07:59:59-00:00,Y,12.5,2011-01-26T00:00:00,2012-01-31T23:59:59,2011-01-26T08:00:00-00:00,2012-02-01T07:59:59-00:00
CON25_1_N002,,CON25_1_N002,,2009-03-31T00:00:00,2030-12-31T23:59:59,2009-03-31T07:00:00-00:00,2031-01-01T07:59:59-00:00,Y,12.5,2011-01-26T00:00:00,2012-01-31T23:59:59,2011-01-26T08:00:00-00:00,2012-02-01T07:59:59-00:00
CRESTWD_6_B1,,CRESTWD_6_B1,,2009-03-31T00:00:00,2030-12-31T23:59:59,2009-03-31T07:00:00-00:00,2031-01-01T07:59:59-00:00,N,,,,,
CPC-COLT_7_N001,,CPC-COLT_7_N001,,2009-03-31T00:00:00,2030-12-31T23:59:59,2009-03-31T07:00:00-00:00,2031-01-01T07:59:59-00:00,Y,18.416,2011-01-26T00:00:00,2012-01-31T23:59:59,2011-01-26T08:00:00-00:00,2012-02-01T07:59:59-00:00
CRANEVLY_6_N001,,CRANEVLY_6_N001,,2009-03-31T00:00:00,2030-12-31T23:59:59,2009-03-31T07:00:00-00:00,2031-01-01T07:59:59-00:00,Y,5.542,2011-01-26T00:00:00,2012-01-31T23:59:59,2011-01-26T08:00:00-00:00,2012-02-01T07:59:59-00:00
CORUM_6_N001,,CORUM_6_N001,,2009-03-31T00:00:00,2030-12-31T23:59:59,2009-03-31T07:00:00-00:00,2031-01-01T07:59:59-00:00,N,,,,,
COTATI_6_B1,,COTATI_6_B1,,2009-03-31T00:00:00,2030-12-31T23:59:59,2009-03-31T07:00:00-00:00,2031-01-01T07:59:59-00:00,N,,,,,
DELTAA_7_B1,,DELTAA_7_B1,,2009-03-31T00:00:00,2030-12-31T23:59:59,2009-03-31T07:00:00-00:00,2031-01-01T07:59:59-00:00,N,,,,,
DELTAA_7_B3,,DELTAA_7_B3,,2009-03-31T00:00:00,2030-12-31T23:59:59,2009-03-31T07:00:00-00:00,2031-01-01T07:59:59-00:00,N,,,,,
DELTAA_7_B4,,DELTAA_7_B4,,2009-03-31T00:00:00,2030-12-31T23:59:59,2009-03-31T07:00:00-00:00,2031-01-01T07:59:59-00:00,N,,,,,
DELTAB_7_B1,,DELTAB_7_B1,,2009-03-31T00:00:00,2030-12-31T23:59:59,2009-03-31T07:00:00-00:00,2031-01-01T07:59:59-00:00,N,,,,,
DELTAB_7_B3,,DELTAB_7_B3,,2009-03-31T00:00:00,2030-12-31T23:59:59,2009-03-31T07:00:00-00:00,2031-01-01T07:59:59-00:00,N,,,,,
DELTAC_7_B1,,DELTAC_7_B1,,2009-03-31T00:00:00,2030-12-31T23:59:59,2009-03-31T07:00:00-00:00,2031-01-01T07:59:59-00:00,N,,,,,
DELTAC_7_B3,,DELTAC_7_B3,,2009-03-31T00:00:00,2030-12-31T23:59:59,2009-03-31T07:00:00-00:00,2031-01-01T07:59:59-00:00,N,,,,,
DELTAD_7_B1,,DELTAD_7_B1,,2009-03-31T00:00:00,2030-12-31T23:59:59,2009-03-31T07:00:00-00:00,2031-01-01T07:59:59-00:00,N,,,,,
DELTAD_7_B3,,DELTAD_7_B3,,2009-03-31T00:00:00,2030-12-31T23:59:59,2009-03-31T07:00:00-00:00,2031-01-01T07:59:59-00:00,N,,,,,
CUMMINGS_6_N001,,CUMMINGS_6_N001,,2009-03-31T00:00:00,2030-12-31T23:59:59,2009-03-31T07:00:00-00:00,2031-01-01T07:59:59-00:00,Y,16.916,2011-01-26T00:00:00,2012-01-31T23:59:59,2011-01-26T08:00:00-00:00,2012-02-01T07:59:59-00:00
CUYAMA_6_N003,,CUYAMA_6_N003,,2009-03-31T00:00:00,2030-12-31T23:59:59,2009-03-31T07:00:00-00:00,2031-01-01T07:59:59-00:00,Y,7.422,2011-01-26T00:00:00,2012-01-31T23:59:59,2011-01-26T08:00:00-00:00,2012-02-01T07:59:59-00:00
CUYAMA_6_N004,,CUYAMA_6_N004,,2009-03-31T00:00:00,2030-12-31T23:59:59,2009-03-31T07:00:00-00:00,2031-01-01T07:59:59-00:00,Y,1.8,2011-01-26T00:00:00,2012-01-31T23:59:59,2011-01-26T08:00:00-00:00,2012-02-01T07:59:59-00:00
CSCCCA_7_N001,,CSCCCA_7_N001,,2009-03-31T00:00:00,2030-12-31T23:59:59,2009-03-31T07:00:00-00:00,2031-01-01T07:59:59-00:00,Y,18.32,2011-01-26T00:00:00,2012-01-31T23:59:59,2011-01-26T08:00:00-00:00,2012-02-01T07:59:59-00:00
DOSAMG1_7_B1,,DOSAMG1_7_B1,,2009-03-31T00:00:00,2030-12-31T23:59:59,2009-03-31T07:00:00-00:00,2031-01-01T07:59:59-00:00,N,,,,,
DOSAMG1_7_B3,,DOSAMG1_7_B3,,2009-03-31T00:00:00,2030-12-31T23:59:59,2009-03-31T07:00:00-00:00,2031-01-01T07:59:59-00:00,N,,,,,
DOSAMG1_7_B4,,DOSAMG1_7_B4,,2009-03-31T00:00:00,2030-12-31T23:59:59,2009-03-31T07:00:00-00:00,2031-01-01T07:59:59-00:00,N,,,,,
DOSAMG2_7_B1,,DOSAMG2_7_B1,,2009-03-31T00:00:00,2030-12-31T23:59:59,2009-03-31T07:00:00-00:00,2031-01-01T07:59:59-00:00,N,,,,,
