INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,PRC,OPR_INTERVAL,GROUP
2023-09-18T00:00:00-00:00,2023-09-18T00:15:00-00:00,2023-09-17,18,CAS_PP_GNODE7,CAS_PP_GNODE7,CAS_PP_GNODE7,RTPD,LMP,LMP_PRC,CAS_PP_GNODE7,ALL,1,23.9984,1,1
2023-09-18T01:00:00-00:00,2023-09-18T01:15:00-00:00,2023-09-17,19,CAS_PP_GNODE7,CAS_PP_GNODE7,CAS_PP_GNODE7,RTPD,LMP,LMP_PRC,CAS_PP_GNODE7,ALL,1,42.8486,1,1
2023-09-18T02:00:00-00:00,2023-09-18T02:15:00-00:00,2023-09-17,20,CAS_PP_GNODE7,CAS_PP_GNODE7,CAS_PP_GNODE7,RTPD,LMP,LMP_PRC,CAS_PP_GNODE7,ALL,1,53.80046,1,1
2023-09-18T03:00:00-00:00,2023-09-18T03:15:00-00:00,2023-09-17,21,CAS_PP_GNODE7,CAS_PP_GNODE7,CAS_PP_GNODE7,RTPD,LMP,LMP_PRC,CAS_PP_GNODE7,ALL,1,39.82921,1,1
2023-09-18T04:00:00-00:00,2023-09-18T04:15:00-00:00,2023-09-17,22,CAS_PP_GNODE7,CAS_PP_GNODE7,CAS_PP_GNODE7,RTPD,LMP,LMP_PRC,CAS_PP_GNODE7,ALL,1,48.40611,1,1
2023-09-18T05:00:00-00:00,2023-09-18T05:15:00-00:00,2023-09-17,23,CAS_PP_GNODE7,CAS_PP_GNODE7,CAS_PP_GNODE7,RTPD,LMP,LMP_PRC,CAS_PP_GNODE7,ALL,1,42.19585,1,1
2023-09-18T06:00:00-00:00,2023-09-18T06:15:00-00:00,2023-09-17,24,CAS_PP_GNODE7,CAS_PP_GNODE7,CAS_PP_GNODE7,RTPD,LMP,LMP_PRC,CAS_PP_GNODE7,ALL,1,39.18336,1,1
2023-09-18T00:15:00-00:00,2023-09-18T00:30:00-00:00,2023-09-17,18,CAS_PP_GNODE7,CAS_PP_GNODE7,CAS_PP_GNODE7,RTPD,LMP,LMP_PRC,CAS_PP_GNODE7,ALL,1,30.78788,2,1
2023-09-18T01:15:00-00:00,2023-09-18T01:30:00-00:00,2023-09-17,19,CAS_PP_GNODE7,CAS_PP_GNODE7,CAS_PP_GNODE7,RTPD,LMP,LMP_PRC,CAS_PP_GNODE7,ALL,1,52.66129,2,1
2023-09-18T02:15:00-00:00,2023-09-18T02:30:00-00:00,2023-09-17,20,CAS_PP_GNODE7,CAS_PP_GNODE7,CAS_PP_GNODE7,RTPD,LMP,LMP_PRC,CAS_PP_GNODE7,ALL,1,46.35384,2,1
2023-09-18T03:15:00-00:00,2023-09-18T03:30:00-00:00,2023-09-17,21,CAS_PP_GNODE7,CAS_PP_GNODE7,CAS_PP_GNODE7,RTPD,LMP,LMP_PRC,CAS_PP_GNODE7,ALL,1,34.08778,2,1
2023-09-18T04:15:00-00:00,2023-09-18T04:30:00-00:00,2023-09-17,22,CAS_PP_GNODE7,CAS_PP_GNODE7,CAS_PP_GNODE7,RTPD,LMP,LMP_PRC,CAS_PP_GNODE7,ALL,1,47.33581,2,1
2023-09-18T05:15:00-00:00,2023-09-18T05:30:00-00:00,2023-09-17,23,CAS_PP_GNODE7,CAS_PP_GNODE7,CAS_PP_GNODE7,RTPD,LMP,LMP_PRC,CAS_PP_GNODE7,ALL,1,40.18235,2,1
2023-09-18T06:15:00-00:00,2023-09-18T06:30:00-00:00,2023-09-17,24,CAS_PP_GNODE7,CAS_PP_GNODE7,CAS_PP_GNODE7,RTPD,LMP,LMP_PRC,CAS_PP_GNODE7,ALL,1,37.5776,2,1
2023-09-18T00:30:00-00:00,2023-09-18T00:45:00-00:00,2023-09-17,18,CAS_PP_GNODE7,CAS_PP_GNODE7,CAS_PP_GNODE7,RTPD,LMP,LMP_PRC,CAS_PP_GNODE7,ALL,1,38.6902,3,1
2023-09-18T01:30:00-00:00,2023-09-18T01:45:00-00:00,2023-09-17,19,CAS_PP_GNODE7,CAS_PP_GNODE7,CAS_PP_GNODE7,RTPD,LMP,LMP_PRC,CAS_PP_GNODE7,ALL,1,52.46937,3,1
2023-09-18T02:30:00-00:00,2023-09-18T02:45:00-00:00,2023-09-17,20,CAS_PP_GNODE7,CAS_PP_GNODE7,CAS_PP_GNODE7,RTPD,LMP,LMP_PRC,CAS_PP_GNODE7,ALL,1,34.77691,3,1
2023-09-18T03:30:00-00:00,2023-09-18T03:45:00-00:00,2023-09-17,21,CAS_PP_GNODE7,CAS_PP_GNODE7,CAS_PP_GNODE7,RTPD,LMP,LMP_PRC,CAS_PP_GNODE7,ALL,1,31.26845,3,1
2023-09-18T04:30:00-00:00,2023-09-18T04:45:00-00:00,2023-09-17,22,CAS_PP_GNODE7,CAS_PP_GNODE7,CAS_PP_GNODE7,RTPD,LMP,LMP_PRC,CAS_PP_GNODE7,ALL,1,45.38186,3,1
2023-09-18T05:30:00-00:00,2023-09-18T05:45:00-00:00,2023-09-17,23,CAS_PP_GNODE7,CAS_PP_GNODE7,CAS_PP_GNODE7,RTPD,LMP,LMP_PRC,CAS_PP_GNODE7,ALL,1,38.74449,3,1
2023-09-18T06:30:00-00:00,2023-09-18T06:45:00-00:00,2023-09-17,24,CAS_PP_GNODE7,CAS_PP_GNODE7,CAS_PP_GNODE7,RTPD,LMP,LMP_PRC,CAS_PP_GNODE7,ALL,1,36.15232,3,1
2023-09-18T00:45:00-00:00,2023-09-18T01:00:00-00:00,2023-09-17,18,CAS_PP_GNODE7,CAS_PP_GNODE7,CAS_PP_GNODE7,RTPD,LMP,LMP_PRC,CAS_PP_GNODE7,ALL,1,62.83352,4,1
2023-09-18T01:45:00-00:00,2023-09-18T02:00:00-00:00,2023-09-17,19,CAS_PP_GNODE7,CAS_PP_GNODE7,CAS_PP_GNODE7,RTPD,LMP,LMP_PRC,CAS_PP_GNODE7,ALL,1,55.85635,4,1
2023-09-18T02:45:00-00:00,2023-09-18T03:00:00-00:00,2023-09-17,20,CAS_PP_GNODE7,CAS_PP_GNODE7,CAS_PP_GNODE7,RTPD,LMP,LMP_PRC,CAS_PP_GNODE7,ALL,1,33.85046,4,1
2023-09-18T03:45:00-00:00,2023-09-18T04:00:00-00:00,2023-09-17,21,CAS_PP_GNODE7,CAS_PP_GNODE7,CAS_PP_GNODE7,RTPD,LMP,LMP_PRC,CAS_PP_GNODE7,ALL,1,40.53422,4,1
2023-09-18T04:45:00-00:00,2023-09-18T05:00:00-00:00,2023-09-17,22,CAS_PP_GNODE7,CAS_PP_GNODE7,CAS_PP_GNODE7,RTPD,LMP,LMP_PRC,CAS_PP_GNODE7,ALL,1,39.51205,4,1
2023-09-18T05:45:00-00:00,2023-09-18T06:00:00-00:00,2023-09-17,23,CAS_PP_GNODE7,CAS_PP_GNODE7,CAS_PP_GNODE7,RTPD,LMP,LMP_PRC,CAS_PP_GNODE7,ALL,1,35.32137,4,1
2023-09-18T06:45:00-00:00,2023-09-18T07:00:00-00:00,2023-09-17,24,CAS_PP_GNODE7,CAS_PP_GNODE7,CAS_PP_GNODE7,RTPD,LMP,LMP_PRC,CAS_PP_GNODE7,ALL,1,32.616,4,1
2023-09-18T00:00:00-00:00,2023-09-18T00:15:00-00:00,2023-09-17,18,CAS_PP_GNODE7,CAS_PP_GNODE7,CAS_PP_GNODE7,RTPD,MCC,LMP_CONG_PRC,CAS_PP_GNODE7,ALL,1,0.0012,1,2
2023-09-18T01:00:00-00:00,2023-09-18T01:15:00-00:00,2023-09-17,19,CAS_PP_GNODE7,CAS_PP_GNODE7,CAS_PP_GNODE7,RTPD,MCC,LMP_CONG_PRC,CAS_PP_GNODE7,ALL,1,0.0012,1,2
2023-09-18T02:00:00-00:00,2023-09-18T02:15:00-00:00,2023-09-17,20,CAS_PP_GNODE7,CAS_PP_GNODE7,CAS_PP_GNODE7,RTPD,MCC,LMP_CONG_PRC,CAS_PP_GNODE7,ALL,1,0.0012,1,2
2023-09-18T03:00:00-00:00,2023-09-18T03:15:00-00:00,2023-09-17,21,CAS_PP_GNODE7,CAS_PP_GNODE7,CAS_PP_GNODE7,RTPD,MCC,LMP_CONG_PRC,CAS_PP_GNODE7,ALL,1,-22.14449,1,2
2023-09-18T04:00:00-00:00,2023-09-18T04:15:00-00:00,2023-09-17,22,CAS_PP_GNODE7,CAS_PP_GNODE7,CAS_PP_GNODE7,RTPD,MCC,LMP_CONG_PRC,CAS_PP_GNODE7,ALL,1,0,1,2
2023-09-18T05:00:00-00:00,2023-09-18T05:15:00-00:00,2023-09-17,23,CAS_PP_GNODE7,CAS_PP_GNODE7,CAS_PP_GNODE7,RTPD,MCC,LMP_CONG_PRC,CAS_PP_GNODE7,ALL,1,0,1,2
2023-09-18T06:00:00-00:00,2023-09-18T06:15:00-00:00,2023-09-17,24,CAS_PP_GNODE7,CAS_PP_GNODE7,CAS_PP_GNODE7,RTPD,MCC,LMP_CONG_PRC,CAS_PP_GNODE7,ALL,1,0.0012,1,2
2023-09-18T00:15:00-00:00,2023-09-18T00:30:00-00:00,2023-09-17,18,CAS_PP_GNODE7,CAS_PP_GNODE7,CAS_PP_GNODE7,RTPD,MCC,LMP_CONG_PRC,CAS_PP_GNODE7,ALL,1,0.0012,2,2
2023-09-18T01:15:00-00:00,2023-09-18T01:30:00-00:00,2023-09-17,19,CAS_PP_GNODE7,CAS_PP_GNODE7,CAS_PP_GNODE7,RTPD,MCC,LMP_CONG_PRC,CAS_PP_GNODE7,ALL,1,0.0012,2,2
2023-09-18T02:15:00-00:00,2023-09-18T02:30:00-00:00,2023-09-17,20,CAS_PP_GNODE7,CAS_PP_GNODE7,CAS_PP_GNODE7,RTPD,MCC,LMP_CONG_PRC,CAS_PP_GNODE7,ALL,1,-16.10511,2,2
2023-09-18T03:15:00-00:00,2023-09-18T03:30:00-00:00,2023-09-17,21,CAS_PP_GNODE7,CAS_PP_GNODE7,CAS_PP_GNODE7,RTPD,MCC,LMP_CONG_PRC,CAS_PP_GNODE7,ALL,1,-19.29159,2,2
2023-09-18T04:15:00-00:00,2023-09-18T04:30:00-00:00,2023-09-17,22,CAS_PP_GNODE7,CAS_PP_GNODE7,CAS_PP_GNODE7,RTPD,MCC,LMP_CONG_PRC,CAS_PP_GNODE7,ALL,1,0,2,2
2023-09-18T05:15:00-00:00,2023-09-18T05:30:00-00:00,2023-09-17,23,CAS_PP_GNODE7,CAS_PP_GNODE7,CAS_PP_GNODE7,RTPD,MCC,LMP_CONG_PRC,CAS_PP_GNODE7,ALL,1,0,2,2
2023-09-18T06:15:00-00:00,2023-09-18T06:30:00-00:00,2023-09-17,24,CAS_PP_GNODE7,CAS_PP_GNODE7,CAS_PP_GNODE7,RTPD,MCC,LMP_CONG_PRC,CAS_PP_GNODE7,ALL,1,0.0012,2,2
2023-09-18T00:30:00-00:00,2023-09-18T00:45:00-00:00,2023-09-17,18,CAS_PP_GNODE7,CAS_PP_GNODE7,CAS_PP_GNODE7,RTPD,MCC,LMP_CONG_PRC,CAS_PP_GNODE7,ALL,1,0.0012,3,2
2023-09-18T01:30:00-00:00,2023-09-18T01:45:00-00:00,2023-09-17,19,CAS_PP_GNODE7,CAS_PP_GNODE7,CAS_PP_GNODE7,RTPD,MCC,LMP_CONG_PRC,CAS_PP_GNODE7,ALL,1,0.0012,3,2
